#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.458236e+00       6.087449e-01       9.815183e-01       2.284858e-03       4.503756e-04       1.390723e-03
          10       2.468877e+00       6.014070e-01       9.811573e-01       1.174546e-02       8.978071e-04       3.369668e-03
          20       2.477501e+00       5.967425e-01       9.795684e-01       5.641335e-03       4.866974e-04       1.815766e-03
          30       2.475443e+00       5.953607e-01       9.801118e-01       1.026901e-02       4.437806e-04       3.336172e-03
          40       2.462724e+00       5.986571e-01       9.798226e-01       1.349190e-02       5.682412e-04       2.960654e-03
          50       2.459670e+00       5.990179e-01       9.803265e-01       2.031138e-02       8.769824e-04       3.618073e-03
          60       2.489347e+00       5.983711e-01       9.821866e-01       2.413189e-02       1.257094e-03       4.774019e-03
          70       2.510248e+00       5.980440e-01       9.837759e-01       2.016688e-02       5.936764e-04       3.173661e-03
          80       2.507804e+00       5.999179e-01       9.864062e-01       2.526479e-02       1.051781e-03       5.793504e-03
          90       2.478450e+00       6.019386e-01       9.856848e-01       4.277025e-02       9.367036e-04       4.864621e-03
         100       2.480497e+00       6.025668e-01       9.868912e-01       4.344366e-02       1.188245e-03       8.150730e-03
