#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.645960e+00       3.436504e-01       6.131556e-01       2.426980e-02       4.678215e-03       1.032482e-02
          10       1.879114e+00       3.954660e-01       6.963311e-01       2.885525e-02       9.126289e-03       1.613735e-02
          20       1.659621e+00       3.444905e-01       6.192413e-01       3.605285e-02       9.215291e-03       1.520554e-02
          30       1.815462e+00       3.802994e-01       6.751402e-01       4.505664e-02       1.204617e-02       1.853695e-02
          40       1.692695e+00       3.527893e-01       6.320301e-01       4.809248e-02       9.394728e-03       2.005859e-02
          50       1.752723e+00       3.678376e-01       6.531423e-01       5.257682e-02       7.546141e-03       2.092152e-02
          60       1.736485e+00       3.655781e-01       6.474445e-01       4.989558e-02       8.323853e-03       2.063068e-02
          70       1.719685e+00       3.629466e-01       6.414387e-01       4.380007e-02       8.570582e-03       1.823547e-02
          80       1.781653e+00       3.771425e-01       6.623638e-01       3.671377e-02       8.021705e-03       1.509063e-02
          90       1.708297e+00       3.600125e-01       6.355139e-01       3.134291e-02       9.115247e-03       1.495294e-02
         100       1.799780e+00       3.783991e-01       6.664247e-01       2.924186e-02       9.861821e-03       1.533035e-02
         110       1.696990e+00       3.535288e-01       6.300956e-01       2.765724e-02       1.068390e-02       1.668185e-02
         120       1.796842e+00       3.734902e-01       6.654902e-01       2.439319e-02       1.159285e-02       1.625952e-02
         130       1.702097e+00       3.529447e-01       6.331594e-01       2.927708e-02       9.463002e-03       1.612123e-02
         140       1.786848e+00       3.727222e-01       6.643584e-01       3.704768e-02       8.795939e-03       1.523065e-02
         150       1.707781e+00       3.593286e-01       6.376269e-01       4.784917e-02       6.885979e-03       1.703642e-02
         160       1.761766e+00       3.745510e-01       6.572724e-01       5.594484e-02       4.891328e-03       1.996286e-02
         170       1.721143e+00       3.674453e-01       6.430383e-01       5.595210e-02       5.775695e-03       2.002763e-02
         180       1.745273e+00       3.725220e-01       6.511480e-01       5.185352e-02       7.296601e-03       1.930142e-02
         190       1.745650e+00       3.698566e-01       6.506287e-01       4.282826e-02       8.219848e-03       1.728728e-02
         200       1.736331e+00       3.637719e-01       6.465125e-01       3.568375e-02       8.915818e-03       1.554520e-02
         210       1.769448e+00       3.676396e-01       6.571890e-01       3.131543e-02       1.000029e-02       1.453860e-02
         220       1.728293e+00       3.565194e-01       6.419584e-01       3.039663e-02       1.125637e-02       1.562701e-02
         230       1.779287e+00       3.677729e-01       6.595638e-01       3.174980e-02       1.024115e-02       1.571122e-02
         240       1.721969e+00       3.574146e-01       6.400349e-01       3.234534e-02       1.012239e-02       1.582993e-02
         250       1.776790e+00       3.719674e-01       6.601241e-01       3.455772e-02       9.390221e-03       1.628379e-02
         260       1.716857e+00       3.622958e-01       6.398738e-01       4.433004e-02       9.400358e-03       1.804944e-02
         270       1.763803e+00       3.747162e-01       6.563762e-01       5.309801e-02       8.061422e-03       2.013440e-02
         280       1.718627e+00       3.655182e-01       6.404230e-01       5.090931e-02       7.440244e-03       2.046104e-02
         290       1.753863e+00       3.725710e-01       6.527116e-01       4.836130e-02       6.100986e-03       2.052741e-02
         300       1.733643e+00       3.661749e-01       6.457174e-01       4.241090e-02       5.953599e-03       1.862674e-02
         310       1.752161e+00       3.678505e-01       6.519677e-01       3.584749e-02       5.410161e-03       1.594614e-02
         320       1.754661e+00       3.660410e-01       6.522269e-01       3.023116e-02       6.328398e-03       1.312004e-02
         330       1.747673e+00       3.628911e-01       6.492410e-01       2.685440e-02       7.965012e-03       1.175295e-02
         340       1.763752e+00       3.662533e-01       6.548960e-01       2.438390e-02       7.671042e-03       1.156370e-02
         350       1.735965e+00       3.611021e-01       6.457034e-01       2.666527e-02       7.873500e-03       1.228577e-02
         360       1.766587e+00       3.702148e-01       6.573414e-01       3.038200e-02       9.164400e-03       1.293292e-02
         370       1.730695e+00       3.640266e-01       6.453121e-01       3.778054e-02       8.303370e-03       1.436863e-02
         380       1.764103e+00       3.725685e-01       6.571744e-01       4.489037e-02       6.861244e-03       1.723036e-02
         390       1.725368e+00       3.628705e-01       6.432999e-01       4.867345e-02       8.544724e-03       2.019216e-02
         400       1.755382e+00       3.668865e-01       6.534225e-01       5.118377e-02       8.583345e-03       2.158103e-02
         410       1.729243e+00       3.609240e-01       6.441691e-01       4.860273e-02       9.385441e-03       2.042036e-02
         420       1.754381e+00       3.672889e-01       6.529182e-01       4.479317e-02       8.555526e-03       1.815394e-02
         430       1.740928e+00       3.652997e-01       6.478203e-01       3.884603e-02       8.636522e-03       1.665166e-02
         440       1.751402e+00       3.668877e-01       6.508559e-01       3.609720e-02       7.923274e-03       1.557667e-02
         450       1.752336e+00       3.659109e-01       6.506810e-01       3.273960e-02       6.816332e-03       1.454817e-02
         460       1.749754e+00       3.649495e-01       6.496683e-01       2.819826e-02       6.572177e-03       1.411377e-02
         470       1.762431e+00       3.685177e-01       6.544213e-01       2.737581e-02       6.434507e-03       1.418578e-02
         480       1.742256e+00       3.650719e-01       6.479586e-01       3.135045e-02       8.891729e-03       1.492804e-02
         490       1.758563e+00       3.697464e-01       6.544839e-01       3.510746e-02       1.010221e-02       1.573164e-02
         500       1.729804e+00       3.638436e-01       6.451851e-01       3.987631e-02       1.046002e-02       1.773595e-02
         510       1.748693e+00       3.686055e-01       6.521651e-01       4.597466e-02       1.117869e-02       2.026192e-02
         520       1.720712e+00       3.624933e-01       6.424467e-01       4.992766e-02       1.171048e-02       2.158573e-02
         530       1.743132e+00       3.671389e-01       6.503550e-01       5.287997e-02       9.957624e-03       2.116558e-02
         540       1.729890e+00       3.627263e-01       6.452278e-01       4.740210e-02       9.955042e-03       1.882737e-02
         550       1.754073e+00       3.661646e-01       6.527366e-01       3.892667e-02       5.783940e-03       1.631141e-02
         560       1.745970e+00       3.634969e-01       6.488026e-01       3.061634e-02       7.826813e-03       1.547393e-02
         570       1.751665e+00       3.651297e-01       6.502443e-01       3.039110e-02       9.716438e-03       1.612663e-02
         580       1.747551e+00       3.656296e-01       6.489009e-01       3.226688e-02       1.058399e-02       1.690269e-02
         590       1.743156e+00       3.662067e-01       6.478906e-01       2.924058e-02       9.990422e-03       1.695808e-02
         600       1.751299e+00       3.693421e-01       6.515420e-01       2.851613e-02       7.710254e-03       1.690873e-02
         610       1.736187e+00       3.670401e-01       6.469874e-01       3.609905e-02       6.200818e-03       1.789360e-02
         620       1.746330e+00       3.698521e-01       6.509433e-01       4.504331e-02       6.076029e-03       1.977629e-02
         630       1.727150e+00       3.647753e-01       6.443684e-01       4.931961e-02       7.759144e-03       2.019199e-02
         640       1.749786e+00       3.682121e-01       6.524462e-01       4.936631e-02       7.966678e-03       1.865105e-02
         650       1.736704e+00       3.632046e-01       6.477230e-01       4.313153e-02       7.582428e-03       1.580501e-02
         660       1.758365e+00       3.667170e-01       6.548201e-01       3.612694e-02       8.192763e-03       1.430188e-02
         670       1.742855e+00       3.629455e-01       6.487453e-01       3.059837e-02       9.349131e-03       1.406979e-02
         680       1.756698e+00       3.667283e-01       6.531136e-01       2.654040e-02       8.150234e-03       1.372922e-02
         690       1.746882e+00       3.658405e-01       6.494304e-01       2.569048e-02       5.920280e-03       1.357811e-02
         700       1.752475e+00       3.685382e-01       6.515195e-01       2.647994e-02       4.986730e-03       1.357278e-02
         710       1.748796e+00       3.688378e-01       6.506847e-01       2.784486e-02       6.529213e-03       1.427127e-02
         720       1.743485e+00       3.680979e-01       6.493569e-01       3.021968e-02       8.130546e-03       1.530387e-02
         730       1.746400e+00       3.685708e-01       6.507694e-01       3.436967e-02       7.867629e-03       1.656160e-02
         740       1.733530e+00       3.655995e-01       6.464286e-01       3.907637e-02       8.492433e-03       1.840876e-02
         750       1.744586e+00       3.680932e-01       6.503230e-01       4.430093e-02       9.312512e-03       2.006234e-02
         760       1.731994e+00       3.656124e-01       6.457994e-01       4.743748e-02       9.273542e-03       2.014126e-02
         770       1.751470e+00       3.699676e-01       6.525977e-01       4.773734e-02       7.713071e-03       1.871456e-02
         780       1.738109e+00       3.663148e-01       6.477896e-01       4.173014e-02       8.930825e-03       1.737446e-02
         790       1.756169e+00       3.692043e-01       6.536687e-01       3.430294e-02       1.051674e-02       1.663901e-02
         800       1.742762e+00       3.644340e-01       6.481900e-01       3.164459e-02       1.001079e-02       1.624752e-02
         810       1.755526e+00       3.660465e-01       6.521758e-01       2.881763e-02       8.670556e-03       1.563348e-02
         820       1.745799e+00       3.632455e-01       6.489763e-01       2.661428e-02       8.447455e-03       1.491928e-02
         830       1.750204e+00       3.642585e-01       6.512874e-01       2.955425e-02       6.695414e-03       1.459087e-02
         840       1.746387e+00       3.634860e-01       6.506212e-01       3.306977e-02       6.948567e-03       1.566486e-02
         850       1.741744e+00       3.633943e-01       6.493051e-01       3.882183e-02       9.633003e-03       1.776480e-02
         860       1.742759e+00       3.665548e-01       6.500193e-01       4.440717e-02       1.155108e-02       1.915519e-02
